feature,gain,split
true_score_lag_13,653272.7406539917,289
prec_clip_sum_91d_anom_rmonth,256047.73023986816,135
region_idx,228032.96844482422,962
water_balance_mean_91d_z_rmonth,194172.87406921387,113
last_known_train_score,134536.33625030518,62
day_idx,79904.83653259277,434
stress_daily_mean_91d_anom_rmonth,72396.67239379883,62
prec_clip_sum_91d,72212.4373626709,67
water_balance_mean_91d_anom_rmonth,67941.96977996826,93
prec_clip_sum_91d_z_rmonth,62096.27014923096,62
true_score_mean_lag13_26,49413.429512023926,106
water_balance_std_91d,46761.593269348145,57
water_balance_mean_56d,46280.67879486084,83
stress_ewm_h90d,33459.68558502197,58
prec_clip_mean_91d,20690.6622467041,15
true_score_mean_lag13_52,19015.632133483887,95
prec_clip_sum_28d_anom_rmonth,18489.127517700195,70
week_idx,15892.64331817627,91
prec_clip_std_91d,15270.544059753418,33
true_score_hist_mean_lag13,14882.083206176758,91
prec_clip_mean_56d,12729.779960632324,21
true_score_hist_severe_rate_lag13,12500.820938110352,80
true_score_lag_104,10450.561805725098,58
humidity_deficit_mean_91d,10155.874000549316,44
doy_sin,9941.359260559082,50
score_hat_max_13,9102.596153259277,54
is_heavy_precip_sum_56d,7971.161003112793,18
humidity_min_91d,7685.490013122559,54
humidity_mean_28d_z_rmonth,7320.531959533691,36
humidity_mean_91d,6528.67325592041,32
tmp_range_mean_91d,6367.388114929199,37
doy,6328.585304260254,41
prec_clip_sum_28d_z_rmonth,6077.919960021973,25
true_score_hist_zero_rate_lag13,5963.659797668457,38
month_cos,5885.53800201416,34
year,5770.901023864746,25
water_balance_mean_28d,5739.954254150391,19
score_hat_max_8,5623.435485839844,30
tmp_mean_28_minus_91,5338.8530349731445,33
endpoint_seq,5276.271011352539,28
score_hat_lag_11,4649.50505065918,26
is_heavy_precip_sum_91d,4525.8702392578125,13
doy_cos,4455.95295715332,30
score_hat_mean_13,4327.84440612793,28
wind_std_91d,4274.547996520996,19
true_score_lag_26,4224.270683288574,19
score_hat_last_minus_mean_13,4148.538192749023,30
water_balance_28_minus_91,4131.877021789551,19
prec_clip_std_56d,3686.41902923584,15
humidity_min_28d,3598.8551177978516,18
prec_clip_sum_28d,3579.406967163086,11
prec_clip_max_91d,3507.3988037109375,19
prec_clip_mean_28d,3442.2470474243164,6
is_wet_day_1mm_sum_91d,3333.150016784668,16
wind_max_max_91d,3310.958564758301,26
humidity_std_91d,3280.2537994384766,24
score_hat_lag_10,3151.376495361328,22
tmp_max_max_91d,3131.390998840332,22
stress_daily_mean_56d,3014.249786376953,20
water_balance_mean_91d,2955.337989807129,16
is_wet_day_5mm_sum_91d,2858.20906829834,9
humidity_mean_28d_anom_rmonth,2817.421417236328,17
water_balance_mean_14d,2777.710968017578,15
score_hat_max_4,2774.5330123901367,19
vpd_max_91d,2772.2756958007812,21
vpd_mean_28d_anom_rmonth,2750.490966796875,13
prec_clip_sum_56d,2737.3321228027344,16
score_hat_lag_12,2703.966796875,22
true_score_lag_52,2597.9585037231445,17
humidity_mean_56d,2539.9913024902344,16
vpd_std_91d,2507.991989135742,16
score_hat_slope_4,2425.8868865966797,17
prec_clip_max_56d,2387.5750045776367,16
stress_28_minus_91,2325.8669815063477,16
tmp_std_91d,2261.229377746582,17
stress_daily_mean_91d_z_rmonth,2097.6648864746094,13
score_hat_mean_4,2091.504005432129,14
stress_daily_mean_28d,2057.11873626709,14
tmp_range_mean_56d,2037.8459930419922,11
vpd_mean_91d,1801.366683959961,11
score_hat,1766.6717224121094,12
stress_daily_mean_14d,1717.8860168457031,12
score_hat_lag_8,1706.7219161987305,12
season_bin,1704.7247924804688,11
vpd_mean_28d_z_rmonth,1594.2197952270508,10
is_dry_day_sum_91d,1583.0810012817383,11
temp_dewpoint_spread_current,1507.2900085449219,8
stress_daily_mean_91d,1457.0625,12
score_hat_lag_9,1437.2477951049805,11
vpd_std_28d,1430.0058975219727,7
vpd_max_28d,1413.608009338379,9
prec_intensity_56d,1397.287986755371,7
score_hat_lag_2,1394.502784729004,11
score_hat_mean_8,1389.134407043457,11
tmp_min_mean_91d,1324.8135986328125,11
score_hat_lag_3,1208.6610870361328,9
stress_ewm_h30d,1184.3016891479492,9
tmp_mean_91d,1168.3329849243164,8
stress_daily_current,1143.0780029296875,8
water_balance_current,1129.2066040039062,7
prec_intensity_91d,1119.7440948486328,9
tmp_minus_wb_current,1099.0360107421875,5
tmp_min_mean_56d,1031.7068939208984,9
prec_sum_28_vs_91,1027.8149032592773,9
vpd_mean_56d,961.6809844970703,6
prec_clip_std_28d,956.5018997192383,7
humidity_deficit_mean_56d,900.8517150878906,6
surf_pre_mean_28d,886.7768859863281,6
day,844.8105087280273,7
surf_pre_mean_56d,827.7419891357422,5
stress_ewm_h7d,825.8409957885742,5
vpd_mean_28d,812.4630126953125,4
tmp_range_mean_28d,811.9552001953125,7
wind_stress_mean_28d,778.0709915161133,6
humidity_std_28d,772.0694885253906,7
water_balance_std_28d,761.3269958496094,4
