feature,gain,split
tmp_mean_28d,248.1310043334961,2
tmp_min_mean_7d,247.61300659179688,2
stress_daily_mean_7d,245.45301055908203,2
prec_clip_max_28d,241.5009994506836,2
tmp_mean_7d,239.1580047607422,2
surf_tmp_minus_tmp_current,236.29299926757812,2
prec_clip_std_14d,227.30140686035156,2
tmp_min_mean_28d,224.8414077758789,2
heat_day_30_sum_91d,221.00800323486328,2
month,217.33699798583984,2
humidity_deficit_mean_7d,217.1739959716797,1
surf_tmp_mean_91d,209.84510040283203,2
tmp_max_mean_91d,202.1604995727539,2
tmp_min_current,199.4677963256836,2
surf_tmp_mean_7d,193.16069793701172,2
water_balance_current,182.66799926757812,1
wind_stress_current,182.09210205078125,2
wind_stress_mean_14d,176.0279998779297,1
stress_daily_std_28d,160.3489990234375,1
surf_tmp_mean_14d,149.09800720214844,1
surf_tmp_mean_56d,139.82899475097656,1
humidity_mean_28d,139.322998046875,1
surf_pre_mean_14d,137.73300170898438,1
humidity_mean_7d,136.38099670410156,1
wind_stress_mean_7d,133.25599670410156,1
prec_clip_sum_14d,129.46499633789062,1
vpd_mean_7d,128.39999389648438,1
heat_day_35_sum_14d,124.46299743652344,1
wind_max_max_28d,123.63800048828125,1
is_wet_day_1mm_sum_56d,118.04299926757812,1
tmp_mean_91d,117.65299987792969,1
tmp_max_mean_7d,113.51399993896484,1
wind_mean_28d,113.21600341796875,1
wb_tmp_current,110.00599670410156,1
tmp_mean_7_minus_28,109.18900299072266,1
humidity_mean_7_minus_28,109.18599700927734,1
tmp_max_current,105.80400085449219,1
wind_std_28d,96.41649627685547,1
is_dry_day_sum_56d,93.0968017578125,1
wind_mean_14d,89.08419799804688,1
tmp_min_mean_56d,0.0,0
heat_day_35_sum_7d,0.0,0
heat_day_35_sum_28d,0.0,0
is_dry_day_sum_28d,0.0,0
is_dry_day_sum_7d,0.0,0
is_wet_day_5mm_sum_28d,0.0,0
tmp_mean_56d,0.0,0
is_wet_day_1mm_sum_28d,0.0,0
is_wet_day_1mm_sum_14d,0.0,0
is_wet_day_1mm_sum_7d,0.0,0
is_dry_day_sum_14d,0.0,0
surf_tmp_current,0.0,0
wind_current,0.0,0
wind_max_current,0.0,0
wind_min_current,0.0,0
