feature,gain,split
true_score_lag_13,585902.3335342407,286
region_idx,236084.20301818848,971
prec_clip_sum_91d_anom_rmonth,220407.04977416992,135
water_balance_mean_91d_z_rmonth,173384.03466796875,95
last_known_train_score,116576.48449707031,58
day_idx,86027.98837280273,468
stress_daily_mean_91d_anom_rmonth,82480.48934936523,48
true_score_mean_lag13_26,59098.13748931885,114
prec_clip_sum_91d,54613.39360046387,34
prec_clip_sum_91d_z_rmonth,47268.44948577881,54
water_balance_mean_56d,45662.42699432373,79
water_balance_mean_91d_anom_rmonth,41978.22232055664,63
prec_clip_mean_91d,41648.68557739258,22
water_balance_std_91d,26808.774154663086,36
true_score_hist_mean_lag13,19145.711196899414,110
week_idx,18535.171226501465,94
water_balance_mean_28d,17484.197525024414,29
stress_ewm_h90d,16474.17343902588,51
prec_clip_sum_28d_anom_rmonth,16336.766159057617,52
true_score_mean_lag13_52,15959.811752319336,87
prec_clip_sum_56d,14153.17903137207,31
true_score_hist_severe_rate_lag13,12135.531471252441,76
prec_clip_mean_56d,11024.26261138916,16
true_score_lag_104,10881.778221130371,66
doy_sin,10433.820762634277,57
prec_clip_max_91d,10099.151458740234,44
true_score_hist_zero_rate_lag13,8758.204940795898,57
doy_cos,8037.9084548950195,46
score_hat_max_13,7978.206077575684,46
humidity_deficit_mean_91d,7864.586120605469,36
humidity_mean_91d,7562.410949707031,37
tmp_range_mean_91d,7486.940620422363,39
prec_clip_std_91d,7254.308319091797,21
humidity_min_91d,7130.748161315918,50
doy,6824.253677368164,43
tmp_mean_28_minus_91,6179.685020446777,37
endpoint_seq,5803.723007202148,32
stress_daily_mean_91d_z_rmonth,5674.774520874023,23
prec_clip_sum_28d_z_rmonth,5651.193687438965,22
score_hat_max_8,5630.548751831055,29
score_hat_last_minus_mean_13,5627.035118103027,41
true_score_lag_52,5351.642395019531,33
vpd_mean_28d_anom_rmonth,5243.154052734375,26
prec_clip_std_56d,5119.790992736816,18
stress_daily_mean_28d,4951.844757080078,26
water_balance_mean_91d,4947.722023010254,8
score_hat_max_4,4903.550025939941,25
score_hat_mean_13,4805.439987182617,30
humidity_std_91d,4161.389938354492,27
vpd_mean_91d,4152.89631652832,18
year,4120.413986206055,20
score_hat_lag_10,4030.392997741699,28
water_balance_28_minus_91,4018.716728210449,23
stress_28_minus_91,3990.2427139282227,27
score_hat_lag_9,3976.138511657715,29
tmp_max_max_91d,3963.2553100585938,23
month_cos,3943.476776123047,22
score_hat_lag_12,3921.6142807006836,27
is_heavy_precip_sum_56d,3898.517135620117,7
is_heavy_precip_sum_91d,3778.074981689453,18
tmp_range_mean_56d,3612.7196197509766,23
wind_std_91d,3322.6349868774414,17
prec_clip_max_56d,3259.460983276367,18
score_hat_slope_4,3219.949981689453,19
tmp_mean_91d,3040.8829803466797,18
vpd_std_91d,3015.8709869384766,21
stress_ewm_h30d,2961.938003540039,12
true_score_lag_26,2877.866973876953,15
prec_clip_mean_28d,2766.4830932617188,8
tmp_min_mean_91d,2695.008285522461,17
stress_daily_mean_91d,2534.9504165649414,16
wind_max_max_91d,2420.368392944336,17
