feature,gain,split
true_score_lag_13,872868.7127609253,363
prec_clip_sum_91d_anom_rmonth,302448.92108917236,173
region_idx,219615.18854522705,952
water_balance_mean_91d_anom_rmonth,200845.53086853027,165
last_known_train_score,182089.45065307617,75
water_balance_mean_91d_z_rmonth,162548.56842041016,115
prec_clip_mean_91d,100153.99401855469,34
prec_clip_sum_91d,77420.43332672119,102
day_idx,61524.418365478516,378
prec_clip_sum_91d_z_rmonth,46562.76076507568,53
water_balance_std_91d,44135.06876373291,38
stress_daily_mean_91d_anom_rmonth,39857.91855621338,54
stress_ewm_h90d,39566.10388183594,78
true_score_mean_lag13_26,22267.422843933105,70
prec_clip_sum_28d_anom_rmonth,18433.338172912598,79
prec_clip_std_91d,17806.046661376953,30
true_score_hist_mean_lag13,17678.453147888184,108
true_score_mean_lag13_52,16480.173484802246,103
week_idx,15546.074798583984,96
true_score_hist_severe_rate_lag13,13648.741523742676,87
water_balance_mean_28d,10483.963432312012,38
water_balance_mean_56d,10098.815994262695,21
stress_daily_mean_91d_z_rmonth,9896.667640686035,26
score_hat_max_13,9649.538101196289,55
tmp_range_mean_91d,9206.318519592285,40
humidity_deficit_mean_91d,8934.903007507324,43
humidity_min_91d,8715.086181640625,63
humidity_mean_91d,8570.5541305542,42
prec_clip_std_56d,8224.123123168945,44
water_balance_28_minus_91,8076.174530029297,42
year,7611.871978759766,26
prec_clip_sum_56d,7533.111251831055,39
true_score_hist_zero_rate_lag13,7104.873016357422,51
true_score_lag_104,6456.065116882324,38
doy_sin,5966.540580749512,39
score_hat_last_minus_mean_13,5678.616996765137,41
doy,5083.47469329834,35
is_heavy_precip_sum_91d,4989.055404663086,17
water_balance_mean_91d,4921.917259216309,18
stress_ewm_h30d,4827.555114746094,35
score_hat_slope_4,4587.928680419922,28
doy_cos,4403.070388793945,26
score_hat_mean_13,4185.9902267456055,31
score_hat_max_8,4147.579521179199,30
prec_clip_mean_56d,3922.181396484375,17
prec_clip_max_91d,3870.7554779052734,23
true_score_lag_26,3791.9104080200195,20
prec_clip_sum_28d_z_rmonth,3750.5154190063477,22
tmp_mean_28_minus_91,3626.7455978393555,23
endpoint_seq,3509.072395324707,22
tmp_range_mean_28d,3479.3010330200195,19
month_cos,3268.62841796875,22
humidity_std_91d,3200.2037963867188,21
score_hat_mean_4,3097.3990325927734,18
tmp_max_max_91d,2656.224624633789,21
surf_pre_mean_91d,2565.16219329834,11
score_hat_lag_12,2535.4257888793945,18
score_hat_lag_9,2499.7461013793945,18
wind_max_max_91d,2480.1683044433594,19
score_hat_mean_8,2319.444923400879,17
stress_28_minus_91,2287.4769897460938,18
score_hat_lag_7,2170.4253997802734,18
tmp_range_mean_56d,2154.72900390625,12
stress_daily_mean_28d,2090.3857040405273,14
true_score_lag_52,2056.9488830566406,14
prec_clip_sum_28d,1969.6080322265625,9
prec_clip_max_56d,1935.0692901611328,12
score_hat_max_4,1906.0909957885742,14
score_hat_lag_2,1891.8177108764648,13
humidity_deficit_mean_56d,1847.979019165039,9
is_heavy_precip_sum_56d,1819.62109375,8
vpd_max_28d,1799.766990661621,11
stress_daily_mean_56d,1776.7725067138672,15
vpd_mean_28d_z_rmonth,1774.732666015625,11
month_sin,1718.463996887207,10
humidity_mean_56d,1674.3470001220703,10
prec_clip_std_28d,1549.8270111083984,7
score_hat_lag_11,1516.7893905639648,11
vpd_max_91d,1492.8638076782227,12
wind_mean_91d,1354.2549896240234,10
prec_intensity_91d,1330.0001831054688,11
score_hat_lag_8,1315.7502059936523,11
stress_daily_std_91d,1308.3629837036133,11
month,1303.8722076416016,11
score_hat_lag_3,1283.8346099853516,10
score_hat,1258.754005432129,10
vpd_mean_91d,1216.8957138061523,10
score_hat_lag_1,1208.6799926757812,6
prec_intensity_56d,1166.088981628418,9
wind_max_mean_91d,1165.1898040771484,9
vpd_std_91d,1125.9741821289062,8
vpd_mean_28d_anom_rmonth,1105.2701797485352,8
tmp_max_max_28d,1036.728889465332,9
prec_sum_28_vs_91,1000.6755981445312,9
stress_daily_mean_91d,995.3929901123047,8
is_dry_day_sum_91d,976.0399856567383,8
humidity_min_28d,975.3858032226562,8
tmp_std_91d,952.0657043457031,8
score_hat_lag_10,938.5488052368164,7
day,938.2240905761719,9
wind_stress_mean_91d,861.7900009155273,7
heat_day_35_sum_91d,860.6456069946289,7
week_of_year,780.0019989013672,6
tmp_min_mean_14d,776.1279983520508,5
season_bin,748.2057113647461,5
humidity_std_28d,733.4272994995117,6
tmp_std_28d,727.626220703125,6
score_hat_lag_6,696.0769958496094,4
humidity_mean_28d_z_rmonth,693.8418045043945,7
is_wet_day_5mm_sum_91d,692.682975769043,4
surf_pre_mean_56d,678.8121948242188,4
wind_mean_56d,665.4969940185547,5
surf_pre_mean_28d,646.6774063110352,6
is_wet_day_1mm_sum_91d,584.6366882324219,5
stress_ewm_h7d,560.5224151611328,3
vpd_std_28d,544.2089004516602,5
tmp_max_mean_91d,527.8744964599609,4
wind_stress_mean_28d,513.7599945068359,3
prec_clip_mean_28d,504.8303909301758,3
vpd_mean_56d,484.2649917602539,4
wind_max_mean_56d,453.7200012207031,3
humidity_deficit_mean_28d,446.7650909423828,4
wind_stress_mean_56d,436.7843933105469,3
tmp_min_mean_28d,420.38440704345703,4
tmp_max_mean_56d,419.97499084472656,3
is_dry_day_sum_56d,409.8529968261719,3
temp_dewpoint_spread_current,354.73900604248047,2
is_wet_day_5mm_sum_56d,345.88060760498047,3
water_balance_std_28d,345.63819885253906,3
tmp_min_current,334.56239318847656,3
wind_mean_28d,334.2080993652344,3
tmp_min_mean_56d,333.2977981567383,3
is_dry_day_sum_28d,328.3490905761719,3
prec_clip_max_28d,324.3990020751953,2
wind_std_91d,323.4139938354492,2
score_hat_lag_5,317.5013961791992,3
surf_pre_mean_7d,309.2879943847656,2
water_balance_mean_14d,306.9952926635742,3
tmp_max_mean_28d,280.26099395751953,2
heat_day_35_sum_56d,271.1499938964844,2
humidity_mean_28d_anom_rmonth,261.38700103759766,2
vpd_mean_7d,256.5509948730469,1
surf_tmp_minus_tmp_current,248.0510025024414,2
stress_daily_std_28d,243.7550048828125,2
wind_max_mean_14d,238.83499908447266,2
score_hat_lag_4,224.42009735107422,2
humidity_mean_7d,214.56399536132812,2
humidity_mean_14d,214.1327896118164,2
tmp_mean_28d_z_rmonth,211.49149322509766,2
wind_stress_mean_7d,210.48509979248047,2
