feature,gain,split
true_score_lag_13,726683.0105209351,318
prec_clip_sum_91d_anom_rmonth,251795.97925567627,154
region_idx,230126.2983932495,948
water_balance_mean_91d_z_rmonth,196634.04278564453,103
last_known_train_score,150069.13220977783,70
prec_clip_sum_91d,123265.15448760986,78
water_balance_mean_91d_anom_rmonth,92251.07460784912,138
prec_clip_sum_91d_z_rmonth,76202.29660797119,61
day_idx,71147.3810043335,404
water_balance_std_91d,45554.564453125,45
stress_daily_mean_91d_anom_rmonth,45512.84342956543,51
true_score_mean_lag13_26,41540.785079956055,97
prec_clip_sum_56d,26346.675491333008,31
water_balance_mean_56d,21755.454261779785,46
true_score_mean_lag13_52,18837.28997039795,101
prec_clip_mean_91d,18257.597091674805,18
water_balance_mean_14d,18143.74486541748,60
stress_ewm_h90d,16090.806510925293,67
true_score_hist_mean_lag13,15944.461128234863,85
week_idx,14769.431365966797,87
prec_clip_std_91d,13700.417778015137,31
true_score_hist_severe_rate_lag13,12693.274894714355,78
prec_clip_sum_28d_anom_rmonth,12294.022171020508,45
score_hat_max_13,9935.867584228516,51
humidity_min_91d,9891.941528320312,70
water_balance_mean_91d,9135.696189880371,24
doy_sin,9129.434066772461,54
humidity_deficit_mean_91d,8555.277183532715,41
true_score_lag_104,8387.228569030762,46
humidity_mean_91d,8217.836433410645,41
prec_clip_max_91d,7976.283142089844,39
is_heavy_precip_sum_91d,7653.6088790893555,23
prec_clip_std_56d,7177.339805603027,26
year,7088.224067687988,28
water_balance_28_minus_91,6906.447319030762,35
endpoint_seq,6119.756820678711,33
doy,6086.375801086426,43
true_score_hist_zero_rate_lag13,6055.3842697143555,39
prec_clip_mean_56d,5424.393913269043,14
tmp_range_mean_91d,4888.553497314453,31
water_balance_mean_28d,4856.097732543945,12
doy_cos,4586.74259185791,31
score_hat_lag_11,4284.600166320801,25
score_hat_last_minus_mean_13,4278.454795837402,29
score_hat_mean_13,4179.076614379883,27
tmp_mean_28_minus_91,4169.476974487305,27
score_hat_slope_4,4151.038482666016,30
score_hat_max_8,4102.064262390137,24
stress_daily_mean_91d_z_rmonth,4094.426010131836,20
prec_clip_sum_28d_z_rmonth,4031.537040710449,19
humidity_mean_28d_z_rmonth,3886.364906311035,23
stress_ewm_h30d,3846.692108154297,19
month_cos,3525.4747314453125,21
tmp_range_mean_56d,3434.335029602051,18
tmp_std_91d,3413.7319869995117,25
