feature,gain,split
score_hat_max_4,53827828.27218628,1554
true_score_lag_13,38922397.64746094,7786
score_hat,37694940.5432663,1569
prec_clip_sum_28d_z_rmonth,26795739.37676239,2838
region_idx,18401795.92229843,64021
score_hat_mean_4,15045727.556541443,2168
prec_clip_sum_91d_anom_rmonth,14992046.281066895,5081
prec_clip_sum_28d_anom_rmonth,10921225.11643982,2496
prec_clip_sum_91d_z_rmonth,10278448.679603577,3932
water_balance_mean_91d_z_rmonth,9132004.630470276,4228
last_known_train_score,6279003.177864075,1253
water_balance_mean_91d_anom_rmonth,5926848.168762207,3301
score_hat_lag_0,4239253.199485779,213
true_score_mean_lag13_26,3355699.576156616,3196
stress_daily_mean_56d,2675693.0283966064,1749
score_hat_max_8,2028248.7084197998,1364
stress_ewm_h30d,1374970.2582244873,1165
stress_daily_mean_28d,1343016.744857788,689
day_idx,1199756.6671524048,3528
prec_clip_sum_56d,1129017.5504226685,1273
prec_clip_sum_91d,893137.1029586792,1158
score_hat_mean_8,806438.3463668823,677
stress_daily_mean_91d_z_rmonth,801353.4838485718,1083
prec_clip_mean_56d,768894.4071731567,950
true_score_mean_lag13_52,543100.5110244751,1357
score_hat_max_13,532011.5241241455,529
water_balance_mean_28d,485185.01235198975,768
water_balance_mean_56d,439499.728553772,863
score_hat_lag_1,435360.9913482666,515
stress_ewm_h7d,432108.7392730713,526
doy,408010.13342285156,901
prec_clip_mean_28d,396383.5094680786,603
stress_ewm_h90d,395861.1064834595,681
doy_sin,361662.2290878296,933
stress_daily_mean_91d_anom_rmonth,356816.0358810425,505
prec_clip_mean_91d,296657.168926239,253
score_hat_lag_2,289918.9349822998,601
prec_sum_28_vs_91,276343.53076934814,770
prec_clip_sum_28d,240387.7091217041,641
wind_max_max_28d,217638.61506652832,256
score_hat_lag_3,216481.78693389893,328
prec_clip_std_91d,208746.6333847046,318
week_idx,206541.5173110962,619
stress_daily_mean_91d,195136.6581954956,223
water_balance_28_minus_91,192966.26274108887,530
vpd_mean_56d,189517.2696533203,470
prec_clip_std_56d,188105.56101226807,382
score_hat_lag_12,184843.86920166016,539
score_hat_last_minus_mean_13,181467.27988433838,622
true_score_lag_26,178985.89401245117,420
water_balance_std_91d,168153.70956420898,253
year,163498.3270111084,356
true_score_hist_zero_rate_lag13,155911.12690734863,379
wind_std_91d,152779.35410308838,360
tmp_std_91d,152318.94959259033,377
is_wet_day_1mm_sum_91d,142027.0765762329,177
humidity_std_91d,133043.146484375,440
doy_cos,115578.19612121582,472
score_hat_mean_13,108848.73386383057,272
tmp_mean_28_minus_91,100344.74407196045,374
humidity_min_91d,100109.33018493652,375
true_score_hist_mean_lag13,97126.25978851318,358
wind_max_mean_56d,94479.07996368408,185
score_hat_slope_4,94400.91571044922,244
true_score_hist_severe_rate_lag13,90850.10218048096,350
score_hat_lag_7,86352.94297790527,145
prec_clip_max_91d,84552.09870147705,218
tmp_range_mean_56d,79873.55780029297,151
humidity_deficit_mean_91d,77007.22568511963,233
true_score_lag_104,75048.7712097168,311
is_wet_day_5mm_sum_91d,73278.79787445068,67
wind_max_mean_91d,71446.7781829834,189
wind_std_28d,69841.92985534668,143
day,64192.888816833496,311
humidity_mean_91d,63777.96698760986,202
true_score_lag_52,62686.15087890625,256
wind_max_max_91d,59124.47463226318,207
tmp_max_mean_56d,57917.13207244873,134
stress_28_minus_91,54526.90202331543,173
week_of_year,51050.33992767334,93
humidity_mean_56d,49618.13522338867,129
water_balance_mean_91d,49512.14060974121,183
is_dry_day_sum_91d,49126.19731903076,158
