feature,gain,split
tmp_max_max_91d,48611.23696899414,193
wind_mean_91d,47935.45763397217,126
humidity_deficit_mean_56d,46673.1420211792,120
surf_pre_mean_91d,46128.10666656494,127
wind_max_mean_14d,43621.56360626221,136
is_dry_day_sum_56d,43220.572830200195,207
wind_stress_mean_91d,42438.41719055176,139
score_hat_lag_8,41566.12065887451,167
month,40235.743019104004,72
score_hat_lag_6,39971.88582611084,152
stress_daily_std_91d,39870.05229187012,146
wind_mean_56d,39444.46765136719,97
vpd_mean_28d_anom_rmonth,39056.26340484619,153
vpd_mean_28d_z_rmonth,37728.7456741333,129
tmp_max_mean_28d,37369.12197113037,95
tmp_range_mean_91d,36857.76396179199,124
stress_daily_mean_14d,36727.90796661377,71
tmp_std_28d,36003.48905181885,177
prec_intensity_56d,35913.87015533447,154
tmp_min_mean_91d,35148.396392822266,133
vpd_std_91d,34884.92045593262,162
surf_pre_mean_56d,34515.56888580322,106
score_hat_lag_4,34444.73957824707,149
humidity_mean_28d_z_rmonth,33996.734771728516,176
score_hat_lag_11,33852.014724731445,110
month_cos,33722.62503814697,125
humidity_min_28d,33668.91139984131,177
is_wet_day_1mm_sum_56d,33391.14440917969,105
humidity_std_28d,32858.64799499512,160
prec_clip_max_56d,32573.366897583008,145
wind_stress_mean_56d,31539.509788513184,147
score_hat_lag_5,31487.526557922363,117
tmp_mean_56d,31331.666946411133,63
month_sin,29535.642196655273,128
wind_mean_14d,27955.699188232422,83
surf_pre_current,27932.476181030273,94
humidity_mean_28d_anom_rmonth,26652.95132446289,153
surf_pre_mean_28d,25430.94899749756,78
humidity_mean_7_minus_28,24961.356895446777,152
water_balance_std_28d,24775.718086242676,84
prec_clip_std_28d,24348.613861083984,68
endpoint_seq,24125.305618286133,66
season_bin,23631.60149383545,77
wind_stress_mean_14d,23602.33236694336,92
humidity_deficit_mean_28d,23477.867149353027,73
vpd_mean_28d,23297.07733154297,59
tmp_mean_28d_anom_rmonth,23167.185264587402,149
prec_sum_7_vs_28,22183.39821624756,145
tmp_range_mean_28d,21045.369171142578,64
wind_max_mean_28d,20961.330001831055,63
vpd_max_91d,20255.82657623291,104
tmp_mean_7_minus_28,19761.216522216797,118
wind_stress_mean_7d,19700.065963745117,77
score_hat_lag_10,19588.29136657715,78
tmp_min_mean_56d,18310.849700927734,60
vpd_mean_91d,18223.58911895752,84
tmp_max_max_28d,17506.987174987793,76
wind_mean_28d,17240.2060546875,68
score_hat_lag_9,17226.755989074707,78
prec_intensity_28d,17105.966758728027,33
vpd_mean_14d,16863.355613708496,65
tmp_mean_28d_z_rmonth,16553.68601989746,99
surf_pre_mean_14d,15891.772247314453,52
tmp_max_mean_91d,15754.401351928711,63
prec_intensity_91d,15480.836837768555,81
tmp_range_mean_14d,14929.440238952637,79
vpd_mean_7_minus_28,14750.90609741211,90
surf_tmp_mean_28d,14299.506317138672,74
is_heavy_precip_sum_91d,14250.873008728027,28
vpd_mean_7d,13242.522964477539,63
wind_stress_mean_28d,12804.291465759277,51
tmp_max_mean_14d,12691.56884765625,33
surf_tmp_current,12651.585273742676,95
surf_pre_mean_7d,12618.9673538208,47
vpd_std_28d,12576.960906982422,60
temp_dewpoint_spread_current,12573.824096679688,42
surf_tmp_mean_56d,12200.736778259277,46
prec_clip_max_28d,12083.026168823242,39
tmp_min_mean_28d,11913.245414733887,59
stress_daily_std_28d,11837.749130249023,57
humidity_mean_14d,11813.638160705566,52
tmp_min_mean_14d,11598.086235046387,45
is_heavy_precip_sum_56d,11346.800025939941,20
is_wet_day_5mm_sum_56d,11192.431739807129,39
prec_current,11172.51148223877,58
humidity_mean_28d,10651.000129699707,51
tmp_mean_91d,10559.89055633545,50
tmp_mean_28d,10530.035774230957,59
tmp_current,10412.46688079834,60
water_balance_mean_14d,10088.956092834473,35
tmp_minus_wb_current,10047.884910583496,42
surf_tmp_mean_91d,9994.1343460083,48
heat_day_35_sum_91d,9820.320053100586,40
surf_tmp_mean_7d,9292.069526672363,41
wind_max_mean_7d,9275.860252380371,39
humidity_mean_7d,8154.338165283203,39
humidity_deficit_mean_7d,8044.49080657959,42
tmp_mean_7d,7842.377372741699,40
vpd_max_28d,7802.288375854492,40
tmp_min_current,7745.445976257324,41
tmp_range_mean_7d,7694.5980224609375,52
stress_daily_current,7627.913261413574,48
humidity_current,7619.074020385742,43
humidity_deficit_mean_14d,7542.3496017456055,46
tmp_mean_14d,7470.86213684082,32
tmp_min_mean_7d,7028.987342834473,36
humidity_deficit_current,6737.541915893555,38
tmp_max_mean_7d,6541.330665588379,31
is_wet_day_1mm_sum_28d,6299.821701049805,30
wind_mean_7d,6168.803970336914,29
surf_tmp_mean_14d,5624.169639587402,28
stress_daily_mean_7d,5288.72868347168,31
heat_day_30_sum_91d,4845.396659851074,27
is_dry_day_sum_28d,4780.0771408081055,27
prec_clip_sum_14d,4285.6066818237305,24
tmp_max_current,4216.42887878418,25
water_balance_current,4046.296829223633,24
heat_day_35_sum_56d,3914.684181213379,17
heat_day_35_sum_14d,3803.695945739746,8
is_dry_day_sum_14d,3703.0310134887695,24
wb_tmp_current,3665.0200119018555,22
dp_tmp_current,3625.925003051758,20
vpd_current,3570.5443115234375,22
wind_max_current,3421.514793395996,19
surf_tmp_minus_tmp_current,3162.05810546875,19
prec_clip_sum_7d,3150.592803955078,19
water_balance_mean_7d,3022.723503112793,19
is_wet_day_5mm_sum_28d,2831.6610412597656,15
tmp_range_current,2792.8786239624023,20
is_wet_day_1mm_sum_14d,2625.0086212158203,18
wind_current,2559.34090423584,16
prec_clip_current,2552.730987548828,13
wind_range_current,2521.956787109375,16
prec_clip_std_14d,2442.1502838134766,16
wind_stress_current,2268.6397018432617,15
prec_clip_max_14d,2186.4043197631836,15
is_heavy_precip_sum_28d,2060.4725799560547,9
heat_day_30_sum_28d,2036.9579772949219,10
is_dry_day_sum_7d,1750.5068817138672,12
heat_day_30_sum_56d,1704.0539016723633,13
is_wet_day_1mm_sum_7d,1671.9306945800781,12
is_wet_day_5mm_sum_7d,1550.427017211914,9
prec_clip_mean_14d,1542.3005142211914,8
prec_clip_mean_7d,1228.503791809082,7
heat_day_35_sum_7d,1103.8250274658203,4
prec_clip_std_7d,1057.8638916015625,8
wind_min_current,1033.3986129760742,8
is_wet_day_5mm_sum_14d,845.9198150634766,4
heat_day_30_sum_14d,678.2070083618164,5
prec_clip_max_7d,621.0879974365234,5
heat_day_35_sum_28d,556.7443008422852,4
is_heavy_precip_sum_7d,387.59700775146484,3
heat_day_30_sum_7d,221.90399932861328,2
is_heavy_precip_sum_14d,146.2469940185547,1
prec_log1p_current,0.0,0
score_hat_filled_by_final,0.0,0
true_score_lag_52_missing,0.0,0
true_score_lag_26_missing,0.0,0
true_score_lag_13_missing,0.0,0
true_score_lag_104_missing,0.0,0
