feature,gain,split
prec_intensity_91d,20965.76890563965,62
wind_stress_mean_14d,18894.742935180664,36
score_hat_lag_6,18550.348991394043,62
tmp_max_max_28d,18161.580017089844,59
is_heavy_precip_sum_91d,17734.807220458984,27
tmp_mean_7_minus_28,17728.65299987793,78
prec_clip_max_28d,17689.76902770996,33
surf_pre_current,17637.7451171875,41
surf_pre_mean_14d,17082.756896972656,46
tmp_range_mean_14d,16919.677795410156,37
wind_stress_mean_56d,16906.293029785156,49
heat_day_35_sum_91d,16845.53192138672,58
surf_tmp_mean_91d,15804.725967407227,47
score_hat_lag_7,15500.785079956055,54
surf_tmp_mean_14d,15114.389022827148,42
score_hat_lag_8,14558.187019348145,55
surf_pre_mean_7d,14100.871963500977,40
prec_intensity_28d,12416.429107666016,25
humidity_mean_14d,12238.60009765625,35
tmp_minus_wb_current,11706.942886352539,21
score_hat_lag_5,11577.116088867188,41
heat_day_30_sum_56d,11318.954055786133,25
vpd_mean_7_minus_28,11297.04899597168,43
tmp_mean_56d,10338.847091674805,28
humidity_deficit_current,10204.267990112305,44
score_hat_lag_9,10101.361022949219,35
prec_current,9582.31607055664,30
wind_mean_14d,9384.657913208008,23
tmp_min_mean_56d,9276.583953857422,27
humidity_deficit_mean_14d,9274.994049072266,33
stress_daily_current,9038.246040344238,26
tmp_mean_14d,9009.788970947266,32
humidity_current,8553.381950378418,37
stress_daily_std_28d,8054.8979415893555,26
wb_tmp_current,8003.81608581543,21
is_dry_day_sum_28d,7880.288009643555,33
humidity_mean_7_minus_28,7780.867942810059,41
prec_sum_7_vs_28,7222.588973999023,36
surf_tmp_mean_56d,6936.2650146484375,23
humidity_deficit_mean_7d,6631.691947937012,28
prec_clip_sum_14d,6594.500015258789,17
tmp_current,6561.685043334961,26
vpd_current,6461.775009155273,23
tmp_max_current,6081.472030639648,24
dp_tmp_current,6049.810958862305,21
tmp_min_mean_14d,6019.396057128906,22
heat_day_35_sum_56d,5560.19694519043,19
humidity_mean_7d,5547.733993530273,23
tmp_max_mean_7d,5324.84196472168,24
is_dry_day_sum_14d,4439.939971923828,16
surf_tmp_mean_7d,4235.586990356445,14
wind_max_mean_14d,4118.835037231445,13
is_wet_day_1mm_sum_28d,4102.400032043457,21
wind_stress_mean_7d,3981.523941040039,8
prec_clip_std_14d,3781.7579803466797,13
is_heavy_precip_sum_28d,3557.134078979492,7
tmp_mean_7d,3517.9539947509766,13
heat_day_30_sum_28d,3442.533004760742,12
prec_clip_mean_14d,3421.0059661865234,12
tmp_range_current,3208.7429962158203,15
wind_max_mean_7d,3201.6690216064453,11
tmp_min_current,3141.0149841308594,15
surf_tmp_current,2996.446060180664,10
prec_clip_max_14d,2865.750015258789,11
tmp_min_mean_7d,2820.2630310058594,12
is_wet_day_1mm_sum_14d,2777.895980834961,9
water_balance_current,2758.522994995117,11
tmp_range_mean_7d,2516.677017211914,15
prec_clip_current,2129.18798828125,7
wind_mean_7d,2073.447998046875,8
is_wet_day_5mm_sum_28d,2033.8359985351562,7
heat_day_30_sum_14d,1732.5049896240234,6
prec_clip_mean_7d,1585.9760284423828,5
water_balance_mean_7d,1516.2959899902344,8
is_dry_day_sum_7d,1330.635986328125,7
prec_clip_sum_7d,1160.6269989013672,7
surf_tmp_minus_tmp_current,904.7069854736328,4
wind_stress_current,901.5649871826172,4
is_wet_day_1mm_sum_7d,771.6160125732422,5
wind_min_current,477.6090087890625,3
heat_day_35_sum_14d,458.49497985839844,2
wind_max_current,438.7840118408203,3
is_wet_day_5mm_sum_14d,333.2149963378906,2
wind_current,266.3459930419922,2
wind_range_current,143.51499938964844,1
heat_day_30_sum_7d,0.0,0
is_heavy_precip_sum_14d,0.0,0
prec_log1p_current,0.0,0
prec_clip_std_7d,0.0,0
prec_clip_max_7d,0.0,0
heat_day_35_sum_7d,0.0,0
is_heavy_precip_sum_7d,0.0,0
is_wet_day_5mm_sum_7d,0.0,0
score_hat_filled_by_final,0.0,0
true_score_lag_52_missing,0.0,0
true_score_lag_26_missing,0.0,0
true_score_lag_13_missing,0.0,0
true_score_lag_104_missing,0.0,0
