feature,gain,split
score_hat,47884698.046951294,1185
true_score_lag_13,26806078.876197815,5652
score_hat_max_4,17940523.753684998,1170
prec_clip_sum_28d_anom_rmonth,16707852.510658264,2437
region_idx,14906764.961105347,39919
prec_clip_sum_28d_z_rmonth,13853602.023834229,1414
water_balance_mean_91d_z_rmonth,6142161.536155701,2888
score_hat_lag_0,5837948.672286987,173
prec_clip_sum_91d_anom_rmonth,5731611.832366943,2239
score_hat_mean_4,5677203.481643677,928
last_known_train_score,4406324.981559753,901
water_balance_mean_91d_anom_rmonth,3937815.4006118774,2044
vpd_mean_28d,2255014.1085510254,940
prec_clip_sum_91d_z_rmonth,2177876.202835083,1702
stress_ewm_h7d,2097715.765510559,1503
true_score_mean_lag13_26,2030901.0722808838,1353
stress_daily_mean_91d_z_rmonth,1503642.5195159912,1089
day_idx,1456611.7201385498,3037
prec_clip_sum_56d,990403.2005386353,1102
water_balance_mean_28d,849349.5400848389,627
prec_clip_sum_28d,707880.2879180908,962
vpd_mean_14d,618870.3516693115,441
prec_clip_sum_91d,548357.1115264893,647
score_hat_max_8,452075.16313171387,421
score_hat_max_13,386588.41299438477,409
prec_clip_mean_56d,358953.2769546509,390
stress_ewm_h90d,357427.10081481934,450
doy,355737.4171295166,662
score_hat_mean_8,335707.3129501343,365
water_balance_28_minus_91,319077.30738830566,590
stress_daily_mean_28d,283266.013092041,330
score_hat_lag_1,282431.7194137573,311
year,253865.35586547852,528
doy_sin,249094.44259643555,546
true_score_mean_lag13_52,243496.3336868286,507
stress_daily_mean_14d,241083.79843902588,241
week_idx,239302.79196166992,505
prec_clip_std_91d,223803.935256958,258
true_score_hist_zero_rate_lag13,211491.18186950684,425
water_balance_mean_56d,205466.9100036621,356
vpd_max_28d,196419.1459197998,241
stress_daily_mean_91d_anom_rmonth,190674.139213562,276
prec_clip_mean_91d,186739.07223510742,178
score_hat_lag_3,183905.66149139404,205
stress_daily_mean_56d,179675.08236694336,323
humidity_std_91d,160495.97909545898,338
doy_cos,157503.9688873291,461
score_hat_lag_2,156988.82725524902,249
tmp_std_91d,156234.9532546997,331
score_hat_last_minus_mean_13,147914.1215057373,412
wind_max_mean_28d,147296.48948669434,283
stress_ewm_h30d,145182.85089111328,181
prec_clip_mean_28d,139763.56287384033,211
prec_clip_std_56d,138010.3631515503,245
water_balance_std_91d,122669.86198425293,177
tmp_max_mean_28d,116811.02415466309,150
humidity_mean_91d,111707.73677825928,197
tmp_mean_28_minus_91,111250.96118927002,314
score_hat_slope_4,110795.95880889893,193
is_wet_day_1mm_sum_91d,109370.80735778809,113
prec_sum_28_vs_91,104307.73529815674,142
surf_pre_mean_91d,102251.60437011719,223
true_score_lag_26,101661.380027771,252
stress_28_minus_91,100418.95127868652,202
vpd_std_28d,99669.97448730469,152
vpd_mean_56d,97496.82769012451,108
tmp_min_mean_28d,92790.61666870117,194
humidity_min_91d,92400.08296203613,262
score_hat_mean_13,90113.94829559326,174
humidity_deficit_mean_91d,89923.35607910156,165
score_hat_lag_12,86991.39217376709,234
tmp_mean_28d,81473.75398254395,143
true_score_hist_severe_rate_lag13,79249.10408782959,264
true_score_hist_mean_lag13,77484.1729812622,229
vpd_mean_28d_z_rmonth,76837.49096679688,231
wind_max_mean_91d,76533.5418548584,117
tmp_max_mean_91d,75517.97989654541,111
wind_mean_28d,75371.30520629883,136
tmp_min_mean_91d,69276.99020385742,114
tmp_range_mean_56d,69048.2190322876,99
humidity_deficit_mean_28d,66798.60089111328,162
true_score_lag_104,62172.6410446167,211
wind_mean_91d,58196.34490966797,120
surf_pre_mean_56d,56504.69101715088,147
wind_max_max_91d,52950.736892700195,130
is_wet_day_5mm_sum_91d,52239.79643249512,67
wind_stress_mean_28d,47783.014251708984,97
prec_clip_max_91d,44305.3650970459,117
tmp_max_max_91d,44035.83110046387,103
is_dry_day_sum_91d,43814.25771331787,96
is_wet_day_1mm_sum_56d,43510.60073852539,101
is_dry_day_sum_56d,42862.075134277344,120
wind_std_91d,42470.523025512695,107
true_score_lag_52,40624.2970123291,102
is_wet_day_5mm_sum_56d,40377.836166381836,44
tmp_mean_28d_anom_rmonth,40263.12886047363,157
tmp_range_mean_91d,39617.085372924805,105
wind_max_mean_56d,39448.81400299072,105
endpoint_seq,39345.14695739746,65
vpd_std_91d,38812.06706237793,118
humidity_mean_28d,38610.29211425781,116
month_sin,38263.568115234375,127
stress_daily_mean_91d,37284.21607208252,84
prec_clip_max_56d,37018.22007751465,111
humidity_min_28d,36512.874992370605,115
tmp_std_28d,36042.683013916016,125
humidity_mean_28d_z_rmonth,35928.17279815674,112
tmp_range_mean_28d,35856.494400024414,77
week_of_year,34282.128005981445,62
humidity_std_28d,33935.38693237305,112
water_balance_mean_91d,33334.33393859863,100
stress_daily_std_91d,33320.65596008301,89
prec_clip_std_28d,33092.54731750488,49
wind_std_28d,32637.177963256836,102
humidity_mean_56d,32499.597869873047,88
wind_max_max_28d,32342.98007965088,108
score_hat_lag_11,32074.408935546875,100
month_cos,31755.7709274292,96
humidity_mean_28d_anom_rmonth,31629.392990112305,94
vpd_mean_7d,31524.07915496826,58
score_hat_lag_4,30869.260040283203,110
month,30683.809173583984,63
surf_tmp_mean_28d,29761.66089630127,91
water_balance_std_28d,28572.981147766113,54
heat_day_35_sum_28d,27702.035011291504,101
vpd_max_91d,26933.240966796875,106
wind_stress_mean_91d,26654.327949523926,67
vpd_mean_28d_anom_rmonth,26141.80002593994,77
tmp_mean_91d,26065.609840393066,73
wind_mean_56d,25701.292922973633,67
prec_intensity_56d,25661.907958984375,87
tmp_max_mean_56d,25368.903045654297,75
vpd_mean_91d,25152.15493774414,80
water_balance_mean_14d,24984.49200439453,46
tmp_max_mean_14d,24869.364059448242,55
humidity_deficit_mean_56d,24848.03517150879,71
is_heavy_precip_sum_56d,24708.16278076172,35
day,24269.457977294922,95
score_hat_lag_10,23705.126998901367,65
temp_dewpoint_spread_current,23274.902053833008,40
surf_pre_mean_28d,23264.488021850586,49
season_bin,22949.077087402344,59
stress_daily_mean_7d,22042.202018737793,51
heat_day_30_sum_91d,21998.585876464844,41
tmp_mean_28d_z_rmonth,21692.151092529297,89
