feature,gain,split
surf_tmp_mean_91d,12321.550903320312,24
wind_max_max_28d,11839.030853271484,28
stress_daily_mean_7d,11829.478057861328,36
score_hat_lag_11,11656.912063598633,24
wind_stress_mean_7d,11187.16000366211,13
heat_day_35_sum_91d,10733.050964355469,32
tmp_min_mean_56d,10339.344985961914,20
humidity_deficit_mean_14d,10007.107009887695,25
wind_stress_mean_56d,9966.948959350586,26
prec_current,9921.22705078125,25
score_hat_lag_9,9914.320022583008,38
tmp_mean_14d,9735.760040283203,24
surf_pre_mean_7d,9609.095031738281,20
wind_stress_mean_14d,9607.975082397461,15
score_hat_lag_4,9335.65901184082,18
tmp_mean_7d,9016.07192993164,26
score_hat_lag_5,8541.475952148438,27
day,8515.487075805664,31
surf_pre_mean_14d,8388.958953857422,18
tmp_min_mean_14d,8185.630081176758,20
humidity_deficit_current,8008.959945678711,29
wind_mean_14d,7840.78596496582,15
surf_tmp_mean_28d,7798.45198059082,18
humidity_mean_7d,7730.025039672852,21
surf_tmp_mean_7d,7626.403991699219,21
score_hat_lag_7,7272.775985717773,19
tmp_max_current,7204.265975952148,19
is_heavy_precip_sum_91d,7175.398986816406,10
heat_day_35_sum_28d,7084.442962646484,18
dp_tmp_current,7016.445983886719,13
tmp_minus_wb_current,6981.416976928711,16
prec_clip_mean_14d,6789.0670166015625,6
tmp_mean_56d,6740.139999389648,17
tmp_mean_7_minus_28,6357.240081787109,24
wind_max_mean_14d,5959.6099853515625,13
stress_daily_current,5909.711013793945,11
stress_daily_std_28d,5872.314041137695,14
tmp_current,5768.81999206543,19
surf_tmp_mean_56d,5625.6719970703125,13
tmp_max_max_28d,5570.896041870117,17
score_hat_lag_6,5460.792938232422,17
prec_clip_max_14d,5319.308868408203,4
wb_tmp_current,5305.288925170898,14
water_balance_mean_7d,5305.061981201172,5
prec_intensity_28d,5136.459976196289,10
prec_clip_sum_14d,4416.314971923828,8
humidity_current,4309.051040649414,14
is_wet_day_5mm_sum_28d,4143.939987182617,7
surf_tmp_current,3752.0579528808594,8
is_wet_day_1mm_sum_28d,3483.8040161132812,15
is_dry_day_sum_14d,3259.291000366211,13
water_balance_current,3156.3169708251953,10
tmp_min_current,3081.4990234375,8
is_dry_day_sum_28d,2997.9569702148438,11
tmp_min_mean_7d,2917.8190002441406,8
humidity_mean_7_minus_28,2843.531997680664,12
vpd_mean_7_minus_28,2785.9710388183594,10
humidity_deficit_mean_7d,2762.147003173828,9
tmp_range_mean_7d,2747.6209716796875,4
vpd_current,2741.679962158203,10
prec_clip_std_14d,2589.5390014648438,5
is_heavy_precip_sum_28d,2160.0010375976562,5
tmp_range_current,2139.009017944336,9
wind_max_mean_7d,1782.2620391845703,5
heat_day_30_sum_28d,1372.103012084961,5
wind_mean_7d,1249.7109985351562,4
is_dry_day_sum_7d,1136.4569854736328,4
is_wet_day_1mm_sum_14d,1000.9789886474609,3
prec_clip_mean_7d,933.6629943847656,4
wind_range_current,729.2869873046875,1
heat_day_30_sum_14d,723.7549743652344,2
wind_min_current,648.8810119628906,3
surf_tmp_minus_tmp_current,647.8059997558594,3
prec_log1p_current,604.1199951171875,1
prec_clip_max_7d,595.0180053710938,3
prec_clip_current,469.635009765625,1
prec_clip_sum_7d,389.9570007324219,1
is_heavy_precip_sum_7d,240.9409942626953,1
wind_current,222.36300659179688,1
heat_day_35_sum_7d,0.0,0
heat_day_35_sum_14d,0.0,0
is_wet_day_1mm_sum_7d,0.0,0
is_heavy_precip_sum_14d,0.0,0
is_wet_day_5mm_sum_14d,0.0,0
heat_day_30_sum_7d,0.0,0
wind_stress_current,0.0,0
prec_clip_std_7d,0.0,0
wind_max_current,0.0,0
is_wet_day_5mm_sum_7d,0.0,0
score_hat_filled_by_final,0.0,0
true_score_lag_52_missing,0.0,0
true_score_lag_26_missing,0.0,0
true_score_lag_13_missing,0.0,0
true_score_lag_104_missing,0.0,0
