feature,gain,split
humidity_mean_28d_anom_rmonth,30781.25698852539,103
water_balance_mean_14d,30593.48184967041,62
humidity_min_28d,30490.41600036621,102
tmp_max_mean_91d,30047.59275817871,57
wind_mean_28d,30042.14585876465,63
prec_intensity_56d,29370.254959106445,113
water_balance_mean_91d,28728.279891967773,88
day,26775.17290496826,114
water_balance_std_28d,25051.98387145996,54
prec_clip_mean_7d,24806.372161865234,99
vpd_std_91d,24212.416931152344,73
vpd_mean_28d_anom_rmonth,24138.592079162598,61
tmp_mean_28d,24011.600967407227,68
score_hat_lag_6,23213.84935760498,77
prec_clip_std_28d,22889.887786865234,35
wind_stress_mean_91d,21470.31706237793,55
humidity_mean_56d,21196.54200744629,61
tmp_max_max_91d,20944.9349899292,82
month_sin,20753.860145568848,69
tmp_std_28d,20042.488983154297,75
season_bin,19943.624969482422,62
tmp_max_mean_14d,19834.786003112793,77
humidity_deficit_mean_56d,19455.60796356201,57
vpd_mean_14d,18651.828979492188,37
surf_tmp_mean_28d,18337.12303161621,55
vpd_max_28d,17740.963890075684,49
tmp_mean_28d_z_rmonth,17712.862060546875,66
vpd_mean_28d_z_rmonth,17705.4210357666,56
is_dry_day_sum_28d,16967.750038146973,81
wind_max_mean_28d,16426.05308532715,41
surf_pre_current,16413.96095275879,42
score_hat_lag_11,16206.55997467041,51
vpd_max_91d,16182.834861755371,69
surf_pre_mean_28d,15887.27505493164,36
prec_intensity_28d,15717.002136230469,32
tmp_mean_7_minus_28,15415.781936645508,68
prec_clip_mean_14d,14610.13101196289,28
score_hat_lag_8,14464.236846923828,49
temp_dewpoint_spread_current,14426.133071899414,28
heat_day_35_sum_91d,13851.208084106445,43
tmp_mean_56d,13644.642150878906,45
tmp_mean_28d_anom_rmonth,13478.937896728516,58
prec_clip_sum_14d,13362.414916992188,40
wind_stress_mean_28d,12755.209106445312,41
prec_intensity_91d,12515.973991394043,37
wind_mean_14d,12194.03498840332,34
prec_current,12183.166961669922,38
is_heavy_precip_sum_56d,12150.383987426758,18
surf_pre_mean_14d,12102.078025817871,35
humidity_mean_28d,12045.97492980957,34
prec_clip_max_28d,11934.331161499023,21
prec_clip_sum_7d,11696.8080368042,62
tmp_max_max_28d,11586.406982421875,29
wind_stress_mean_56d,11384.33901977539,37
is_wet_day_5mm_sum_56d,11271.102081298828,28
stress_daily_mean_7d,11237.28694152832,47
surf_pre_mean_7d,11227.306106567383,30
score_hat_lag_5,11108.130981445312,42
tmp_mean_91d,11087.323959350586,35
score_hat_lag_10,11043.60905456543,41
tmp_min_mean_56d,10802.626014709473,45
prec_sum_7_vs_28,10218.9312210083,53
surf_tmp_mean_91d,9841.136093139648,26
is_heavy_precip_sum_91d,9676.773040771484,21
humidity_mean_7_minus_28,8613.051010131836,41
surf_tmp_mean_56d,8570.380966186523,32
stress_daily_std_28d,8544.268005371094,28
humidity_deficit_mean_7d,8437.417976379395,33
tmp_min_mean_28d,8258.279998779297,28
wind_stress_mean_14d,7672.3989334106445,29
vpd_mean_7d,7275.5799560546875,23
wind_max_mean_14d,7129.434951782227,19
humidity_deficit_mean_28d,7125.984924316406,19
tmp_min_mean_7d,6922.553985595703,24
tmp_max_mean_7d,6759.4949951171875,23
surf_tmp_mean_7d,6708.43293762207,9
surf_tmp_mean_14d,6656.447052001953,22
humidity_mean_14d,6632.831954956055,27
score_hat_lag_9,6428.775001525879,24
vpd_mean_7_minus_28,6099.907989501953,27
tmp_min_mean_14d,6012.489074707031,23
tmp_range_mean_14d,5777.011024475098,19
dp_tmp_current,5585.891998291016,23
wind_stress_mean_7d,5218.394989013672,18
prec_clip_std_14d,5208.503967285156,16
tmp_mean_14d,4996.525985717773,19
tmp_minus_wb_current,4946.210998535156,18
wb_tmp_current,4674.727020263672,18
heat_day_30_sum_91d,4670.4639892578125,15
score_hat_lag_7,4405.585006713867,19
humidity_deficit_current,4348.681999206543,20
heat_day_30_sum_56d,4346.714996337891,15
stress_daily_current,4321.323959350586,14
tmp_current,4257.757965087891,12
tmp_max_current,4215.656997680664,15
is_wet_day_1mm_sum_28d,3911.173049926758,15
is_dry_day_sum_14d,3898.2229614257812,11
surf_tmp_current,3873.852981567383,14
heat_day_35_sum_28d,3736.72900390625,12
water_balance_mean_7d,3627.061996459961,21
humidity_deficit_mean_14d,3409.385009765625,12
humidity_current,3402.6800079345703,16
is_wet_day_5mm_sum_28d,3254.1930389404297,11
wind_max_mean_7d,2994.383010864258,11
tmp_min_current,2820.8899841308594,12
wind_mean_7d,2728.2980041503906,12
humidity_mean_7d,2594.440963745117,11
vpd_current,2537.749008178711,13
tmp_mean_7d,2466.7869720458984,9
prec_clip_current,2326.322998046875,7
tmp_range_current,2275.68701171875,11
surf_tmp_minus_tmp_current,2039.6689910888672,9
is_dry_day_sum_7d,1690.8090057373047,8
wind_stress_current,1574.9479751586914,7
heat_day_35_sum_56d,1475.5740051269531,5
prec_clip_max_14d,1430.7660064697266,6
heat_day_30_sum_28d,1133.2480163574219,4
tmp_range_mean_7d,1087.3809661865234,4
wind_max_current,878.9700088500977,5
water_balance_current,683.6269836425781,3
heat_day_35_sum_7d,580.6220092773438,1
is_wet_day_1mm_sum_14d,521.3179931640625,2
wind_range_current,497.44998931884766,4
is_heavy_precip_sum_28d,482.5999984741211,2
wind_current,390.8370056152344,2
is_wet_day_1mm_sum_7d,370.44300842285156,2
heat_day_35_sum_14d,309.7539978027344,1
prec_clip_std_7d,217.96600341796875,1
wind_min_current,193.58599853515625,1
is_heavy_precip_sum_14d,158.86199951171875,1
heat_day_30_sum_14d,0.0,0
prec_clip_max_7d,0.0,0
prec_log1p_current,0.0,0
is_wet_day_5mm_sum_7d,0.0,0
is_heavy_precip_sum_7d,0.0,0
is_wet_day_5mm_sum_14d,0.0,0
heat_day_30_sum_7d,0.0,0
score_hat_filled_by_final,0.0,0
true_score_lag_52_missing,0.0,0
true_score_lag_26_missing,0.0,0
true_score_lag_13_missing,0.0,0
true_score_lag_104_missing,0.0,0
