feature,gain,split
score_hat,61793710.04721069,1620
true_score_lag_13,34934642.72315979,6019
prec_clip_sum_28d_anom_rmonth,20057598.323631287,2817
region_idx,13536599.49357605,35950
prec_clip_sum_28d_z_rmonth,12205934.606933594,1699
prec_clip_sum_91d_anom_rmonth,9474846.616889954,3449
score_hat_max_4,9243972.543785095,1178
score_hat_lag_0,7760847.814338684,245
score_hat_mean_4,7102283.60433197,1336
water_balance_mean_91d_z_rmonth,7037864.413719177,3073
last_known_train_score,5699422.17766571,939
water_balance_mean_91d_anom_rmonth,4345635.423339844,2080
prec_clip_sum_91d_z_rmonth,3711642.071510315,2265
true_score_mean_lag13_26,1959890.3139266968,1529
stress_ewm_h7d,1876746.0224609375,1644
stress_daily_mean_56d,1376732.21043396,1004
day_idx,1215786.9764785767,2658
stress_daily_mean_91d_z_rmonth,1131411.8078308105,1206
prec_clip_mean_28d,944804.7707595825,784
stress_ewm_h30d,818887.3836593628,823
prec_clip_sum_91d,720134.753112793,718
prec_clip_sum_28d,631423.9551696777,722
stress_daily_mean_28d,543652.7922439575,583
doy,393610.1048965454,865
vpd_mean_56d,392276.3838195801,413
stress_daily_mean_91d_anom_rmonth,390522.2445831299,519
prec_clip_sum_56d,356181.5981903076,519
stress_ewm_h90d,354442.7973327637,521
prec_clip_mean_56d,347854.8381958008,512
vpd_mean_28d,321910.54359436035,264
doy_sin,297633.8227844238,560
true_score_mean_lag13_52,297178.64011383057,661
prec_sum_28_vs_91,283366.6639099121,445
score_hat_max_13,225509.61953735352,241
water_balance_mean_56d,207856.08071136475,415
prec_clip_std_91d,205878.77965545654,273
water_balance_mean_28d,193650.43296051025,228
score_hat_lag_1,193058.1826019287,512
stress_daily_mean_14d,191923.1082458496,219
true_score_lag_26,184763.43222808838,449
year,176891.59928894043,342
score_hat_mean_13,176266.54523468018,261
score_hat_lag_2,175667.69077301025,284
true_score_hist_zero_rate_lag13,168978.9526901245,388
score_hat_last_minus_mean_13,161393.555809021,401
prec_clip_std_56d,156495.99655151367,284
week_idx,153173.7282333374,376
humidity_std_91d,146961.31562042236,324
prec_clip_mean_91d,146123.42569732666,182
vpd_std_28d,142133.034866333,195
doy_cos,130954.53727722168,328
score_hat_max_8,125440.2350692749,123
water_balance_28_minus_91,123431.01947784424,218
is_wet_day_1mm_sum_91d,118990.39750671387,103
water_balance_std_91d,104201.44606781006,141
tmp_std_91d,99904.78221130371,243
wind_mean_91d,95182.07411193848,164
score_hat_lag_3,82990.35228729248,110
true_score_hist_severe_rate_lag13,81272.99327850342,260
true_score_hist_mean_lag13,80419.96301269531,252
stress_daily_mean_91d,79680.75106811523,140
score_hat_slope_4,77815.5001373291,163
tmp_max_mean_28d,74105.76084136963,116
tmp_mean_28_minus_91,72496.92714691162,217
wind_max_max_28d,68775.674949646,92
humidity_min_91d,67689.2879562378,189
score_hat_mean_8,65902.05470275879,117
score_hat_lag_12,65883.60093688965,223
humidity_mean_91d,63592.034759521484,140
tmp_range_mean_56d,60968.711166381836,101
wind_max_mean_91d,60275.68199157715,121
is_wet_day_5mm_sum_91d,59288.138816833496,46
stress_28_minus_91,59042.643005371094,128
wind_max_mean_56d,55964.69396972656,104
surf_pre_mean_91d,55865.87895965576,131
is_dry_day_sum_91d,52741.80908203125,79
true_score_lag_104,50660.62194824219,168
wind_max_max_91d,50487.385162353516,120
tmp_range_mean_91d,49964.27519226074,92
wind_std_91d,49660.94115447998,104
vpd_mean_91d,48635.79875946045,114
week_of_year,47676.962005615234,98
tmp_max_mean_56d,45329.77404785156,149
humidity_deficit_mean_91d,44988.2620010376,96
tmp_min_mean_91d,44723.18508911133,120
true_score_lag_52,43177.834953308105,110
wind_std_28d,42324.494720458984,158
prec_clip_max_56d,42017.93004608154,105
wind_mean_56d,38347.38102722168,82
score_hat_lag_4,37465.5079498291,141
prec_clip_max_91d,36095.040924072266,89
surf_pre_mean_56d,35898.66902923584,104
is_dry_day_sum_56d,33579.44104003906,102
humidity_mean_28d_z_rmonth,33455.51826477051,109
tmp_range_mean_28d,33443.83786010742,62
month,33092.397956848145,56
month_cos,32709.213958740234,107
stress_daily_std_91d,32367.532890319824,70
endpoint_seq,32256.934692382812,59
humidity_std_28d,31707.62693786621,108
is_wet_day_1mm_sum_56d,31372.10792541504,73
