feature,gain,split
score_hat_max_4,71903659.44860077,2003
true_score_lag_13,43709324.34477234,7010
score_hat_mean_4,23919430.36896515,1626
water_balance_mean_91d_z_rmonth,19700553.60106659,4744
prec_clip_sum_28d_z_rmonth,16699925.378860474,3082
prec_clip_sum_91d_anom_rmonth,15731575.013305664,5224
region_idx,15617962.659751892,48386
score_hat,10095090.24067688,619
prec_clip_sum_91d_z_rmonth,9896680.018615723,4526
last_known_train_score,7058277.160270691,1110
water_balance_mean_91d_anom_rmonth,6984779.226173401,3220
prec_clip_sum_28d_anom_rmonth,5122663.835784912,3367
true_score_mean_lag13_26,3137808.5440444946,2615
stress_daily_mean_56d,1643052.6171188354,1445
prec_clip_sum_56d,1191916.746459961,1718
prec_clip_sum_91d,1158097.0278320312,922
water_balance_mean_56d,1064210.4750595093,1725
stress_ewm_h30d,1058637.1775054932,1321
day_idx,993320.0224609375,2519
score_hat_lag_0,861390.1015625,76
score_hat_max_13,850440.9853210449,1360
score_hat_max_8,845746.0323791504,1061
stress_daily_mean_28d,771563.6343231201,623
water_balance_mean_28d,731890.2108840942,800
score_hat_mean_8,613235.1732025146,993
stress_daily_mean_91d_anom_rmonth,479666.28061676025,595
true_score_mean_lag13_52,468541.1510772705,1016
stress_ewm_h90d,440071.484413147,607
stress_daily_mean_91d_z_rmonth,419307.0507888794,904
prec_clip_std_56d,358188.25970458984,698
prec_clip_mean_56d,323215.9186935425,514
doy,314805.94957733154,650
score_hat_last_minus_mean_13,278214.1404571533,781
prec_clip_std_91d,273191.6432495117,437
prec_clip_mean_91d,266776.8507461548,253
doy_sin,246247.22161865234,566
prec_clip_sum_28d,229647.391166687,515
true_score_lag_26,212358.93647003174,416
score_hat_mean_13,208135.63570404053,431
score_hat_lag_3,171587.55471038818,247
prec_clip_mean_28d,165981.01356506348,361
score_hat_lag_1,154294.91204071045,308
week_idx,151778.42254638672,411
year,147821.6150894165,307
score_hat_lag_12,139090.91304016113,441
is_wet_day_1mm_sum_91d,137316.00429534912,150
water_balance_std_91d,135834.15243530273,233
true_score_hist_zero_rate_lag13,128068.81304168701,346
water_balance_28_minus_91,127873.39279937744,238
stress_ewm_h7d,127473.13475036621,109
score_hat_lag_2,127463.18479156494,240
doy_cos,106697.61602783203,328
humidity_std_91d,106638.2593536377,298
prec_sum_28_vs_91,103218.70146942139,203
is_wet_day_5mm_sum_91d,101969.9348449707,64
humidity_min_91d,98316.58484649658,306
tmp_std_91d,86331.19116973877,209
true_score_hist_severe_rate_lag13,78347.26309967041,299
score_hat_slope_4,75750.37887573242,165
prec_clip_max_91d,72374.88859558105,193
true_score_hist_mean_lag13,70169.08406066895,271
wind_std_91d,69913.59503173828,162
tmp_mean_28_minus_91,69607.5783996582,285
stress_daily_mean_91d,66095.14214324951,215
true_score_lag_52,59009.26541137695,186
wind_max_max_91d,59009.14693450928,175
true_score_lag_104,57527.55138397217,239
surf_pre_mean_91d,56035.88806152344,125
water_balance_mean_91d,54403.03793334961,156
wind_max_mean_91d,50542.02897644043,127
tmp_range_mean_56d,49527.861404418945,104
vpd_mean_28d_z_rmonth,49258.821197509766,117
is_dry_day_sum_91d,45128.720848083496,105
wind_max_mean_56d,43702.05564117432,92
tmp_range_mean_91d,43585.745292663574,124
stress_28_minus_91,41551.87407684326,120
stress_daily_std_91d,40825.05111694336,111
humidity_mean_91d,37955.60260772705,87
month_sin,37429.65547180176,93
week_of_year,36346.9047164917,76
prec_clip_std_28d,35731.863052368164,87
wind_mean_56d,35690.89587402344,73
vpd_mean_91d,35230.7746963501,113
prec_sum_7_vs_28,34963.276847839355,168
wind_stress_mean_91d,34914.52900695801,94
humidity_deficit_mean_91d,34803.53706359863,98
wind_max_max_28d,33254.513008117676,58
vpd_mean_28d_anom_rmonth,33187.90589141846,102
prec_clip_max_56d,32425.34447479248,114
month,31694.324920654297,54
is_dry_day_sum_56d,31246.671028137207,89
day,31087.5698928833,153
is_heavy_precip_sum_91d,30820.207473754883,60
prec_intensity_56d,28669.68519592285,91
surf_pre_mean_56d,28377.673042297363,78
humidity_std_28d,28129.939971923828,100
score_hat_lag_8,28062.430740356445,126
endpoint_seq,27780.26010131836,66
tmp_max_max_91d,26887.115020751953,117
vpd_std_91d,26672.082977294922,109
tmp_min_mean_91d,26494.861640930176,85
humidity_mean_28d_z_rmonth,25664.584587097168,109
is_heavy_precip_sum_56d,23189.365356445312,30
tmp_max_max_28d,21848.141639709473,58
wind_mean_91d,21390.2289352417,67
wind_max_mean_28d,21201.19312286377,66
season_bin,21086.223709106445,68
vpd_max_91d,21070.259063720703,76
tmp_max_mean_91d,20824.03675842285,59
score_hat_lag_11,20569.841636657715,77
humidity_mean_28d_anom_rmonth,20306.08699798584,87
humidity_min_28d,19995.04497528076,87
wind_std_28d,19663.07736968994,72
